time,pm1.0,pm2.5,pm10
160.96435117721558,23,53,69
161.8099536895752,23,53,69
162.65546250343323,23,53,69
163.5722782611847,22,49,66
164.41774559020996,22,49,66
165.26328539848328,22,49,66
166.18082785606384,22,50,67
167.09744834899902,22,50,65
168.0140974521637,21,49,60
168.9306664466858,19,45,58
169.84745836257935,19,44,53
170.76392698287964,19,43,51
171.680410861969,19,43,51
172.5969774723053,19,43,50
173.51338148117065,18,41,50
174.42976665496826,18,40,48
175.34599256515503,16,36,41
176.2625813484192,16,36,41
177.1790452003479,16,35,40
178.02443408966064,16,35,40
178.86992955207825,16,35,40
179.7861065864563,15,34,37
180.6316568851471,15,34,37
181.4770610332489,15,34,37
182.3935194015503,15,34,36
183.23899054527283,15,34,36
184.0846073627472,15,34,36
185.0007665157318,14,32,34
185.91685438156128,14,29,33
186.83300137519836,13,28,32
187.7491409778595,12,29,33
188.66537809371948,11,29,31
189.5814983844757,11,28,31
190.49752163887024,10,26,30
191.41387128829956,10,25,31
192.33008933067322,9,25,33
193.24589276313782,8,23,32
194.16210627555847,8,24,34
195.07806372642517,8,24,32
195.99401664733887,7,23,31
196.83947610855103,7,23,31
197.68508553504944,7,23,31
198.6011426448822,7,20,28
199.44657516479492,7,20,28
200.29204630851746,7,20,28
201.20791006088257,7,20,29
202.05342411994934,7,20,29
202.8987913131714,7,20,29
203.81489253044128,7,19,29
204.66032791137695,7,19,29
205.5057339668274,7,19,29
206.42194390296936,7,18,27
207.26735949516296,7,18,27
208.11279845237732,7,18,27
209.0286202430725,6,16,23
209.87402153015137,6,16,23
210.7195599079132,6,16,23
211.63570928573608,7,15,20
212.48120641708374,7,15,20
213.32656359672546,7,15,20
214.24269676208496,7,15,19
215.08820843696594,7,15,19
215.9335491657257,7,15,19
216.84941005706787,6,12,16
217.6947660446167,6,12,16
218.54035830497742,6,12,16
219.45613527297974,6,12,15
220.30169105529785,6,12,15
221.14727973937988,6,12,15
222.06308770179749,6,11,14
222.9086573123932,6,11,14
223.75413346290588,6,11,14
224.67010045051575,5,10,13
225.5155098438263,5,10,13
226.36104202270508,4,9,12
227.27677249908447,4,8,10
228.1224811077118,4,8,10
228.9679651260376,4,8,10
229.88389468193054,4,8,9
230.72938632965088,4,8,9
231.57500338554382,4,8,9
232.49087071418762,2,5,8
233.3364498615265,2,5,8
234.18202567100525,2,5,8
235.0977327823639,2,5,7
235.94316864013672,2,5,7
236.7886734008789,2,5,7
237.7044289112091,1,4,6
238.55000352859497,2,5,7
239.39545059204102,2,5,7
240.31148171424866,2,4,7
241.15690994262695,2,4,7
242.00249409675598,2,4,7
242.9181878566742,2,4,7
243.76373624801636,2,4,7
244.6092565059662,2,4,7
245.5251820087433,2,4,7
246.3705770969391,2,4,7
247.21616530418396,2,4,7
248.13188290596008,2,4,7
248.97729516029358,2,4,7
249.82289600372314,2,4,7
250.73873281478882,1,4,7
251.5843801498413,1,4,7
252.42984676361084,1,4,7
253.34567427635193,1,4,7
254.19127941131592,1,4,7
255.03685355186462,1,4,7
255.95269441604614,1,4,6
256.79823327064514,1,4,6
257.6438457965851,1,4,6
258.55958342552185,1,3,4
259.40511560440063,1,3,4
260.2506847381592,1,3,4
261.16653275489807,1,3,5
262.01207756996155,1,3,5
262.85758805274963,0,2,4
263.77349758148193,0,2,3
264.61910033226013,0,2,3
265.46470737457275,1,3,4
266.38050508499146,1,3,3
267.2262194156647,1,3,3
268.07168912887573,1,3,3
268.98756313323975,1,3,4
269.8331139087677,1,3,4
270.6787073612213,1,3,4
271.5944821834564,1,3,4
272.44001817703247,1,3,4
273.2857427597046,1,3,4
274.201580286026,1,3,4
275.04721903800964,1,3,4
275.8926408290863,1,3,4
276.80847549438477,1,2,3
277.65392541885376,1,2,3
278.49940395355225,1,2,3
279.4151668548584,1,2,3
280.26068210601807,1,2,3
281.1062684059143,1,2,3
282.0219030380249,1,2,3
282.86744236946106,1,2,3
283.7129361629486,1,2,3
