time,pm1.0,pm2.5,pm10
135.1103551387787,112,250,321
135.95586347579956,112,250,321
136.87604475021362,107,240,305
137.72168517112732,107,240,305
138.5671842098236,107,240,305
139.486581325531,102,227,287
140.33208656311035,102,227,287
141.17774844169617,102,227,287
142.09715032577515,95,214,267
142.94268012046814,95,214,267
143.7883336544037,95,214,267
144.7075378894806,88,202,254
145.55321502685547,88,202,254
146.3986678123474,88,202,254
147.3173258304596,82,182,231
148.23610997200012,77,170,215
149.15494775772095,72,162,207
150.07338881492615,68,152,197
150.99160265922546,64,141,177
151.91030049324036,61,133,166
152.8290843963623,58,127,160
153.74736857414246,56,121,152
154.66541123390198,54,117,142
155.5831847190857,51,112,135
156.50130081176758,50,112,134
157.41899132728577,47,105,126
158.33707427978516,45,101,121
159.1827585697174,45,101,121
160.02818703651428,45,101,121
160.94596076011658,46,100,116
161.86347460746765,44,96,112
162.7809774875641,43,92,106
163.6984839439392,40,87,98
164.61664390563965,41,88,100
165.53382992744446,39,85,97
166.45147562026978,39,87,99
167.36881589889526,38,85,96
168.28597021102905,36,82,92
169.2034876346588,36,80,90
170.12062621116638,34,79,91
171.03792238235474,34,78,92
171.95529985427856,33,76,91
172.80068802833557,33,76,91
173.64623022079468,33,76,91
174.56322121620178,32,74,89
175.40867638587952,32,74,89
176.2542052268982,32,74,89
177.17080569267273,29,67,82
178.0881862640381,29,66,80
179.00515174865723,27,62,76
179.9220368862152,26,61,74
180.83909463882446,26,60,75
181.75602436065674,25,57,75
182.6730592250824,25,57,75
183.58960509300232,23,53,70
184.50610828399658,22,51,65
185.42280507087708,22,48,63
186.3394958972931,22,48,65
187.25602531433105,20,46,63
188.1727683544159,20,44,62
189.01828575134277,20,44,62
189.86386466026306,20,44,62
190.78059434890747,19,43,61
191.62620902061462,19,43,61
192.47166442871094,19,43,61
193.38810443878174,17,38,56
194.3046898841858,16,39,53
195.22120356559753,15,36,48
196.13756847381592,14,37,50
197.05404901504517,15,37,49
197.97047066688538,15,36,49
198.8867630958557,14,35,47
199.80319690704346,13,33,46
200.7196536064148,12,32,42
201.63583612442017,11,31,43
202.55222082138062,11,31,42
203.46864938735962,11,29,40
204.38478922843933,10,28,40
205.23029971122742,10,28,40
206.07580304145813,11,29,41
206.99195265769958,11,27,37
207.83754348754883,11,27,37
208.68295741081238,11,27,37
209.599125623703,10,27,39
210.4445538520813,10,27,39
211.2902729511261,10,27,39
212.2062792778015,9,26,36
213.0517475605011,9,26,36
213.89727067947388,9,26,36
214.81320548057556,9,24,34
215.6585578918457,9,24,34
216.50408577919006,9,24,34
217.42019081115723,8,21,30
218.26553082466125,8,21,30
219.1111192703247,8,21,30
220.02703166007996,7,20,28
220.87261748313904,8,21,29
221.7180678844452,8,21,29
222.63401198387146,8,19,24
223.47952890396118,8,19,24
224.32507038116455,8,19,24
225.24088859558105,7,18,22
226.086270570755,7,18,22
226.9317319393158,6,17,21
227.84779810905457,5,15,19
228.693217754364,5,15,19
229.53863048553467,6,16,20
230.4545876979828,6,14,18
231.30016803741455,6,14,18
232.1454849243164,6,14,18
233.0612804889679,4,11,14
233.90678024291992,4,11,14
234.75230884552002,4,11,14
235.6681206226349,5,10,12
236.5135018825531,5,10,12
237.35887694358826,5,10,12
238.27470755577087,4,10,12
239.12009859085083,3,9,11
239.96550750732422,3,9,11
240.88127088546753,3,7,10
241.72673082351685,4,8,11
242.57207560539246,4,8,11
243.4878499507904,3,8,9
244.33327984809875,3,8,9
245.1787624359131,3,8,9
246.09461998939514,3,7,8
246.94006204605103,3,7,8
247.78549146652222,2,6,7
248.70130467414856,2,5,7
249.54681253433228,2,5,7
250.3922095298767,3,6,8
251.30797910690308,3,6,8
252.15348649024963,3,6,8
252.99897289276123,3,6,8
253.91470456123352,1,4,6
254.76024651527405,1,4,6
255.60568809509277,1,4,6
256.52150297164917,2,4,7
257.36695861816406,2,4,7
258.2125267982483,2,4,7
259.1283481121063,2,5,7
259.97370195388794,1,4,6
260.8191497325897,1,4,6
261.734911441803,1,3,6
262.58048915863037,1,3,6
263.4258077144623,1,3,6
264.34174370765686,1,3,4
265.18719387054443,1,3,4
266.0326714515686,1,3,4
266.94850039482117,1,3,4
267.7939851284027,1,3,4
268.63941717147827,1,3,4
269.55516028404236,1,3,4
270.40060114860535,1,3,4
271.2461450099945,1,3,4
272.161913394928,2,4,5
273.00747203826904,2,4,5
273.85295391082764,2,4,5
274.7687816619873,1,3,3
275.61425042152405,1,3,3
276.4598021507263,1,3,3
277.3755156993866,1,2,2
278.22100472450256,1,2,2
279.066682100296,1,2,2
279.98228788375854,1,2,2
280.82789516448975,2,3,3
281.6733193397522,2,3,3
282.58926653862,2,3,3
283.4347686767578,2,3,3
284.28030920028687,2,3,3
285.1961166858673,2,3,3
286.041485786438,2,3,3
286.88705563545227,1,2,2
287.8029148578644,1,2,2
288.6485347747803,1,2,2
289.4939477443695,2,3,3
290.4098048210144,2,3,3
291.25523591041565,2,3,3
292.1007797718048,2,3,3
293.0164215564728,0,2,2
293.8619775772095,0,2,2
294.7075905799866,0,2,2
295.62343764305115,1,3,4
296.4690067768097,1,3,4
297.31444931030273,1,3,4
298.23031306266785,1,3,3
299.0758321285248,0,2,2
299.9214377403259,0,2,2
300.8372116088867,1,2,3
301.68285179138184,1,2,3
302.52830624580383,1,2,3
303.444176197052,0,2,2
304.28977274894714,0,2,2
305.135409116745,0,2,2
306.05102586746216,0,1,2
306.8965082168579,0,1,2
307.7419741153717,0,1,2
308.657648563385,0,1,2
309.5030882358551,0,1,2
310.348584651947,1,2,3
311.26426887512207,1,2,3
312.1098747253418,1,2,3
312.9553439617157,1,2,3
313.8710939884186,0,1,2
314.71657633781433,0,1,2
315.56215953826904,0,1,2
316.4777512550354,0,0,1
317.323171377182,0,0,1
318.1685485839844,0,0,1
319.08430790901184,0,1,1
319.9297661781311,0,1,1
320.77526807785034,0,1,1
321.6909325122833,0,1,1
322.53628420829773,0,1,1
323.38177514076233,0,1,1
324.29733633995056,0,1,1
325.14277172088623,0,1,1
325.988329410553,0,1,1
326.90401101112366,0,0,1
327.74936270713806,0,0,1
328.59488010406494,0,1,2
329.51040148735046,0,1,2
330.35588550567627,0,1,2
331.2012686729431,0,1,2
332.1169955730438,0,0,1
332.96254110336304,0,0,1
333.8079631328583,0,0,1
334.72367310523987,0,0,1
335.5690770149231,0,0,1
336.4146246910095,0,0,1
337.3303475379944,0,0,1
338.1757695674896,0,0,1
339.02131485939026,0,0,1
339.93682837486267,0,0,1
340.7822594642639,0,1,2
341.6277644634247,0,1,2
342.54328203201294,0,1,2
343.3888683319092,0,1,2
344.2342607975006,0,1,2
345.1500895023346,0,1,2
345.99559116363525,0,1,2
346.8410928249359,0,1,2
347.75666999816895,0,1,2
348.60208559036255,0,1,2
349.44744300842285,0,1,2
350.36293625831604,0,1,2
351.20830965042114,0,1,2
352.0537929534912,0,1,2
352.9695460796356,0,1,1
353.8148555755615,0,1,1
354.66019010543823,0,1,1
355.5758481025696,0,1,1
356.42126393318176,0,1,1
357.266597032547,0,1,1
358.18231868743896,0,2,2
359.0277273654938,0,2,2
359.872980594635,0,2,2
360.788667678833,0,2,2
361.63413548469543,0,2,2
362.4796886444092,0,2,2
363.3953125476837,0,2,2
364.2406108379364,0,2,2
365.0860617160797,0,2,2
366.0016334056854,0,2,2
366.84701228141785,0,2,2
367.69240164756775,0,2,2
368.60806035995483,0,2,2
369.45345401763916,0,2,2
370.29890489578247,0,2,2
371.21435165405273,0,2,2
372.0597987174988,0,2,2
372.90509963035583,0,2,2
373.8206350803375,0,1,1
374.666122674942,0,1,1
375.51147842407227,0,1,1
376.4269347190857,0,1,1
377.2723288536072,0,1,1
378.1176977157593,0,1,1
379.0334837436676,0,1,1
379.8788859844208,0,1,1
380.7242114543915,0,1,1
381.63982582092285,0,1,1
382.4853870868683,0,1,1
383.3307387828827,0,1,1
384.2463140487671,0,1,1
